Sneaker Name,Price,Attributes,Published Date
NIKE Tech Trainer Mens AQ4775-001 Sz US 9.5 Gray Low Top Athletic Running Shoes,$50 ,N/A,N/A
"Nike Dunk Low Retro ""Panda"" Black White",$127 ,N/A,N/A
Nike x Undercover Dunk HI 1985 UBA Red Black White DD9401-600 Men’s Size 12,$139 ,N/A,N/A
"Concepts x Nk Dunk Low Pro SB ""White lobster""",$164 ,N/A,N/A
"Nike Dunk Low ""Panda"" Black White Retro",$152 ,N/A,N/A
"Nike Dunk Low ""Panda"" Black White Retro",$152 ,N/A,N/A
"Nike Dunk Low ""Panda"" Black White Retro",$152 ,N/A,N/A
NWT Nike Air Max AP,$99 ,N/A,N/A
Nike Air Force 1 Mens 10 White Leather High Top Shoes '07 AF1 315121-115 Sneaker,$59 ,N/A,N/A
Nike Men’s Lebron 15 “Oreo” Basketball Shoes Black White Sz 12 NO INSOLES,$105 ,N/A,N/A
Nike Dunk Low,$170 ,N/A,N/A
Nike Revolution 5 Black White Mens Shoes Size US7 Running Shoe BQ3204 002,$28 ,"Size: 7
            
              Nike",N/A
Nike Dunk Low Retro White Black Panda,$153 ,"Size: Various
            
              Nike",N/A
NIKE REACT VAPOR ULTRAFLY ELITE 4 BLACK ORANGE DA0701-003 BASEBALL SIZE 10.5,$149 ,"Size: 10.5
            
              Nike",N/A
Nike Men's Tan and Orange Trainers,$152 ,"Size: 8.5
            
              Nike",N/A
Nike Kevin Durant 12 Anthracite KD12 Black Basketball Shoe AR4229-003 Mens 8.5,$65 ,"Size: 8.5
            
              Nike",N/A
Nike dunk white green,$150 ,"Size: 9
            
              Nike",N/A
